img_id_A,img_id_B,target
0001a_num1.png,0001a_num2.png,1
0001a_num1.png,0001a_num3.png,1
0001a_num1.png,0001a_num4.png,1
0001a_num1.png,0001a_num5.png,1
0001a_num1.png,0001b_num1.png,1
0001a_num1.png,0001b_num2.png,1
0001a_num1.png,0001b_num3.png,1
0001a_num1.png,0001b_num4.png,1
0001a_num1.png,0001b_num5.png,1
0001a_num1.png,0001c_num1.png,1
0001a_num1.png,0001c_num2.png,1
0001a_num1.png,0001c_num3.png,1
0001a_num1.png,0001c_num4.png,1
0001a_num1.png,0001c_num5.png,1
0001a_num2.png,0001a_num3.png,1
0001a_num2.png,0001a_num4.png,1
0001a_num2.png,0001a_num5.png,1
0001a_num2.png,0001b_num1.png,1
0001a_num2.png,0001b_num2.png,1
0001a_num2.png,0001b_num3.png,1
0001a_num2.png,0001b_num4.png,1
0001a_num2.png,0001b_num5.png,1
0001a_num2.png,0001c_num1.png,1
0001a_num2.png,0001c_num2.png,1
0001a_num2.png,0001c_num3.png,1
0001a_num2.png,0001c_num4.png,1
0001a_num2.png,0001c_num5.png,1
0001a_num3.png,0001a_num4.png,1
0001a_num3.png,0001a_num5.png,1
0001a_num3.png,0001b_num1.png,1
0001a_num3.png,0001b_num2.png,1
0001a_num3.png,0001b_num3.png,1
0001a_num3.png,0001b_num4.png,1
0001a_num3.png,0001b_num5.png,1
0001a_num3.png,0001c_num1.png,1
0001a_num3.png,0001c_num2.png,1
0001a_num3.png,0001c_num3.png,1
0001a_num3.png,0001c_num4.png,1
0001a_num3.png,0001c_num5.png,1
0001a_num4.png,0001a_num5.png,1
0001a_num4.png,0001b_num1.png,1
0001a_num4.png,0001b_num2.png,1
0001a_num4.png,0001b_num3.png,1
0001a_num4.png,0001b_num4.png,1
0001a_num4.png,0001b_num5.png,1
0001a_num4.png,0001c_num1.png,1
0001a_num4.png,0001c_num2.png,1
0001a_num4.png,0001c_num3.png,1
0001a_num4.png,0001c_num4.png,1
0001a_num4.png,0001c_num5.png,1
0001a_num5.png,0001b_num1.png,1
0001a_num5.png,0001b_num2.png,1
0001a_num5.png,0001b_num3.png,1
